,grid_id,grid_lon_min,grid_lat_min,grid_lon_max,grid_lat_max,医疗,购物,餐饮,科教,摩托,公司,生活,汽车,体育,住宿
0,1,116.8315,36.71129734099892,116.84946622349985,36.72926356449874,11,47,63,4,0,1,19,3,1,7
1,2,116.8315,36.72926356449874,116.84946622349985,36.74722978799856,5,15,12,0,1,0,8,3,0,0
2,3,116.84946622349985,36.6035,116.86743244699966,36.621466223499816,1,25,25,2,0,0,13,5,1,0
3,4,116.84946622349985,36.621466223499816,116.86743244699966,36.63943244699964,15,76,71,7,3,0,36,3,3,5
4,5,116.84946622349985,36.63943244699964,116.86743244699966,36.657398670499454,6,11,11,3,0,0,10,2,3,0
5,6,116.90336489399928,36.6035,116.92133111749912,36.621466223499816,10,26,34,2,0,0,10,0,2,0
6,7,116.90336489399928,36.63943244699964,116.92133111749912,36.657398670499454,3,19,16,2,0,0,6,3,0,0
7,8,116.90336489399928,36.65739867049946,116.92133111749912,36.67536489399928,16,43,28,1,0,0,14,3,1,1
8,9,116.90336489399928,36.67536489399928,116.92133111749912,36.6933311174991,16,43,34,4,1,0,26,1,2,0
9,10,116.90336489399928,36.6933311174991,116.92133111749912,36.71129734099892,25,83,83,10,0,0,27,3,2,38
10,11,116.90336489399928,36.71129734099892,116.92133111749912,36.72926356449874,13,39,11,1,0,0,20,0,0,6
11,12,116.90336489399928,36.72926356449874,116.92133111749912,36.74722978799856,1,20,23,4,0,0,7,1,1,0
12,13,116.92133111749912,36.67536489399928,116.93929734099892,36.6933311174991,5,13,9,0,0,0,6,2,1,0
13,14,116.95726356449876,36.65739867049946,116.97522978799856,36.67536489399928,3,16,16,0,0,0,2,0,0,1
14,15,116.95726356449876,36.6933311174991,116.97522978799856,36.71129734099892,8,26,24,1,0,1,9,3,1,27
15,16,116.95726356449876,36.71129734099892,116.97522978799856,36.72926356449874,11,82,64,0,0,2,21,3,4,24
16,17,116.95726356449876,36.72926356449874,116.97522978799856,36.74722978799856,16,39,34,0,0,0,17,2,1,5
17,18,116.97522978799856,36.6035,116.9931960114984,36.621466223499816,19,41,29,4,0,0,15,3,0,2
18,19,116.97522978799856,36.621466223499816,116.9931960114984,36.63943244699964,20,101,101,13,0,0,56,1,6,7
19,20,116.97522978799856,36.63943244699964,116.9931960114984,36.657398670499454,14,52,32,6,0,0,20,3,0,4
20,21,116.97522978799856,36.65739867049946,116.9931960114984,36.67536489399928,11,94,62,3,2,0,31,2,4,4
21,22,116.97522978799856,36.67536489399928,116.9931960114984,36.6933311174991,11,34,42,4,0,0,25,3,3,28
22,23,116.97522978799856,36.6933311174991,116.9931960114984,36.71129734099892,15,47,81,9,0,0,36,1,2,9
23,24,116.97522978799856,36.71129734099892,116.9931960114984,36.72926356449874,7,35,12,5,0,0,22,1,1,67
24,25,116.97522978799856,36.72926356449874,116.9931960114984,36.74722978799856,16,97,79,7,0,0,42,3,5,2
25,26,116.99319601149838,36.6035,117.0111622349982,36.621466223499816,6,34,26,5,0,0,28,4,4,1
26,27,116.99319601149838,36.621466223499816,117.0111622349982,36.63943244699964,7,47,17,0,0,0,12,2,2,0
27,28,116.99319601149838,36.63943244699964,117.0111622349982,36.657398670499454,11,42,48,8,0,0,29,3,3,4
28,29,116.99319601149838,36.65739867049946,117.0111622349982,36.67536489399928,18,56,56,6,2,0,40,3,6,0
29,30,116.99319601149838,36.67536489399928,117.0111622349982,36.6933311174991,5,14,13,0,0,0,9,1,0,0
30,31,116.99319601149838,36.6933311174991,117.0111622349982,36.71129734099892,2,14,14,0,0,0,5,1,0,5
31,32,117.02912845849804,36.63943244699964,117.04709468199786,36.657398670499454,11,64,78,1,0,0,14,7,3,54
32,33,117.02912845849804,36.65739867049946,117.04709468199786,36.67536489399928,6,27,20,1,0,0,14,3,3,8
33,34,117.02912845849804,36.67536489399928,117.04709468199786,36.6933311174991,6,30,38,2,0,0,15,3,0,10
34,35,117.02912845849804,36.6933311174991,117.04709468199786,36.71129734099892,14,34,69,2,0,0,28,6,1,5
35,36,117.02912845849804,36.71129734099892,117.04709468199786,36.72926356449874,22,95,98,4,1,2,43,1,7,16
36,37,117.02912845849804,36.72926356449874,117.04709468199786,36.74722978799856,25,88,116,6,3,0,52,3,4,31
37,38,117.04709468199783,36.6035,117.06506090549767,36.621466223499816,25,125,150,12,0,3,47,5,8,63
38,39,117.04709468199783,36.621466223499816,117.06506090549767,36.63943244699964,21,158,180,5,0,1,26,2,3,79
39,40,117.04709468199783,36.63943244699964,117.06506090549767,36.657398670499454,22,65,72,5,2,0,33,4,1,6
40,41,117.04709468199783,36.65739867049946,117.06506090549767,36.67536489399928,18,80,94,5,0,0,39,0,6,13
41,42,117.04709468199783,36.67536489399928,117.06506090549767,36.6933311174991,9,33,65,5,1,0,17,3,1,6
42,43,117.04709468199783,36.6933311174991,117.06506090549767,36.71129734099892,5,80,52,2,0,0,23,1,0,10
43,44,117.04709468199783,36.71129734099892,117.06506090549767,36.72926356449874,8,69,64,4,0,0,43,3,2,26
44,45,117.04709468199783,36.72926356449874,117.06506090549767,36.74722978799856,6,43,54,4,0,0,23,4,4,7
45,46,117.06506090549767,36.6035,117.0830271289975,36.621466223499816,4,37,50,3,0,0,17,2,1,7
46,47,117.06506090549767,36.621466223499816,117.0830271289975,36.63943244699964,2,21,11,3,0,0,10,0,1,4
47,48,117.06506090549767,36.63943244699964,117.0830271289975,36.657398670499454,4,27,16,0,0,0,6,1,1,0
48,49,117.06506090549767,36.65739867049946,117.0830271289975,36.67536489399928,6,31,20,0,0,0,3,0,1,0
49,50,117.06506090549767,36.67536489399928,117.0830271289975,36.6933311174991,1,14,30,0,0,0,9,0,0,2
50,51,117.08302712899749,36.72926356449874,117.10099335249733,36.74722978799856,10,48,70,3,0,0,21,0,3,14
51,52,117.10099335249733,36.6035,117.11895957599714,36.621466223499816,20,34,68,4,0,0,29,3,2,9
52,53,117.10099335249733,36.621466223499816,117.11895957599714,36.63943244699964,3,17,14,2,2,0,9,4,0,0
53,54,117.10099335249733,36.63943244699964,117.11895957599714,36.657398670499454,13,43,32,1,0,0,11,5,1,10
54,55,117.10099335249733,36.65739867049946,117.11895957599714,36.67536489399928,9,43,41,1,0,0,22,2,0,2
55,56,117.10099335249733,36.67536489399928,117.11895957599714,36.6933311174991,27,72,96,12,0,1,46,4,1,15
56,57,117.10099335249733,36.6933311174991,117.11895957599714,36.71129734099892,16,68,62,2,2,0,31,1,2,27
57,58,117.10099335249733,36.71129734099892,117.11895957599714,36.72926356449874,11,33,41,2,1,0,11,2,1,8
58,59,117.10099335249733,36.72926356449874,117.11895957599714,36.74722978799856,23,59,65,1,0,0,33,3,2,47
59,60,117.11895957599712,36.6035,117.13692579949696,36.621466223499816,23,121,142,17,0,1,37,5,4,47
60,61,117.11895957599712,36.621466223499816,117.13692579949696,36.63943244699964,21,87,105,11,0,0,48,1,5,9
61,62,117.11895957599712,36.63943244699964,117.13692579949696,36.657398670499454,17,67,58,6,0,0,38,5,4,4
62,63,117.11895957599712,36.65739867049946,117.13692579949696,36.67536489399928,23,120,88,13,1,0,51,9,5,5
63,64,117.11895957599712,36.67536489399928,117.13692579949696,36.6933311174991,9,102,136,6,0,0,55,5,2,8
64,65,117.11895957599712,36.72926356449874,117.13692579949696,36.74722978799856,4,17,26,1,0,0,5,0,1,0
65,66,117.13692579949696,36.6035,117.15489202299678,36.621466223499816,2,19,22,2,0,0,16,1,2,0
66,67,117.13692579949696,36.621466223499816,117.15489202299678,36.63943244699964,5,74,55,3,0,0,18,1,1,8
67,68,117.13692579949696,36.63943244699964,117.15489202299678,36.657398670499454,9,37,14,0,0,0,10,0,0,0
68,69,117.13692579949696,36.6933311174991,117.15489202299678,36.71129734099892,7,25,26,1,0,0,9,1,1,1
69,70,117.13692579949696,36.71129734099892,117.15489202299678,36.72926356449874,4,22,15,0,0,0,3,0,0,2
70,71,117.15489202299678,36.71129734099892,117.1728582464966,36.72926356449874,10,31,28,0,0,0,14,4,1,1
71,72,117.15489202299678,36.72926356449874,117.1728582464966,36.74722978799856,5,26,25,0,1,0,14,2,3,3
72,73,117.1728582464966,36.6035,117.1908244699964,36.621466223499816,9,53,30,2,0,0,11,5,1,2
73,74,117.1728582464966,36.621466223499816,117.1908244699964,36.63943244699964,12,52,105,4,0,0,23,3,2,4
74,75,117.1728582464966,36.63943244699964,117.1908244699964,36.657398670499454,9,41,39,1,1,0,17,5,1,1
75,76,117.1728582464966,36.65739867049946,117.1908244699964,36.67536489399928,8,36,48,1,0,0,18,2,2,7
76,77,117.1728582464966,36.67536489399928,117.1908244699964,36.6933311174991,15,64,60,2,0,0,20,2,1,2
77,78,117.1728582464966,36.6933311174991,117.1908244699964,36.71129734099892,16,67,74,5,5,0,30,5,2,22
78,79,117.1728582464966,36.71129734099892,117.1908244699964,36.72926356449874,7,23,42,1,0,0,16,8,2,0
79,80,117.1728582464966,36.72926356449874,117.1908244699964,36.74722978799856,7,32,28,1,0,0,18,6,0,1
80,81,117.1908244699964,36.6035,117.20879069349624,36.621466223499816,12,31,33,6,0,0,28,0,2,0
81,82,117.1908244699964,36.621466223499816,117.20879069349624,36.63943244699964,2,19,9,0,0,0,7,1,0,0
82,83,117.1908244699964,36.63943244699964,117.20879069349624,36.657398670499454,10,33,33,0,1,0,12,2,1,1
83,84,117.1908244699964,36.67536489399928,117.20879069349624,36.6933311174991,8,18,12,0,0,0,5,1,1,1
84,85,117.1908244699964,36.71129734099892,117.20879069349624,36.72926356449874,8,52,53,3,0,0,28,2,0,4
85,86,117.22675691699604,36.63943244699964,117.24472314049588,36.657398670499454,1,33,26,0,0,0,4,1,0,0
86,87,117.22675691699604,36.65739867049946,117.24472314049588,36.67536489399928,3,11,22,0,0,0,4,3,0,0
87,88,117.22675691699604,36.67536489399928,117.24472314049588,36.6933311174991,2,10,21,0,0,0,9,2,0,0
88,89,117.22675691699604,36.6933311174991,117.24472314049588,36.71129734099892,6,19,24,1,4,1,14,3,2,0
89,90,117.22675691699604,36.71129734099892,117.24472314049588,36.72926356449874,8,15,21,1,0,0,10,2,0,0
90,91,117.24472314049588,36.6035,117.2626893639957,36.621466223499816,3,21,15,0,0,0,12,1,0,1
91,92,117.24472314049588,36.621466223499816,117.2626893639957,36.63943244699964,8,47,45,0,0,0,16,4,2,0
92,93,117.24472314049588,36.63943244699964,117.2626893639957,36.657398670499454,4,50,43,2,0,1,9,1,1,1
93,94,117.24472314049588,36.65739867049946,117.2626893639957,36.67536489399928,3,15,21,0,0,0,2,3,0,0
94,95,117.24472314049588,36.67536489399928,117.2626893639957,36.6933311174991,5,22,26,0,0,0,9,3,1,0
95,96,117.24472314049588,36.6933311174991,117.2626893639957,36.71129734099892,4,17,20,0,0,0,6,1,2,0
96,97,117.24472314049588,36.71129734099892,117.2626893639957,36.72926356449874,14,69,82,4,0,0,20,3,2,2
97,98,117.24472314049588,36.72926356449874,117.2626893639957,36.74722978799856,15,53,36,1,0,0,7,0,0,0
98,99,117.26268936399568,36.621466223499816,117.28065558749552,36.63943244699964,5,24,20,0,0,0,4,0,0,0
99,100,117.26268936399568,36.65739867049946,117.28065558749552,36.67536489399928,6,20,15,0,1,0,1,1,0,1
100,101,117.26268936399568,36.67536489399928,117.28065558749552,36.6933311174991,5,22,10,1,0,0,4,1,0,2
101,102,117.29862181099531,36.72926356449874,117.31658803449515,36.74722978799856,8,32,30,1,1,0,21,1,1,1
102,103,117.31658803449515,36.6035,117.33455425799498,36.621466223499816,4,19,14,2,2,0,5,2,2,0
103,104,117.31658803449515,36.65739867049946,117.33455425799498,36.67536489399928,9,26,29,3,0,0,17,1,4,0
104,105,117.31658803449515,36.67536489399928,117.33455425799498,36.6933311174991,8,15,16,0,1,0,11,0,1,0
105,106,117.33455425799498,36.6035,117.3525204814948,36.621466223499816,3,15,12,0,0,0,0,0,0,0
